,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Std_Mem40_MFCC_0,Mean_Acc1298_Std_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_11,Std_Acc1298_Mean_Mem40_MFCC_1,Std_Acc1298_Mean_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_MFCC_9,Std_Acc1298_Std_Mem40_MFCC_12,BH_LowPeakAmp,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.5128608253427279,0.30128534205231683,0.4161983615565211,0.4552071725565372,0.3264036946410648,0.24024365559548128,0.12868852459016394,0.2970804878776131,0.28641072750495755,0.1643231565242122,0.031926147286293116,0,1,1,0,0,0
1,0.35524878369553525,0.26057713749388434,0.13350195768205975,0.19135727309056394,0.27373586950543005,0.2362473240311298,0.12867071623682574,0.05970419154110996,0.08663107983180751,0.06749183968578476,0.02510065047735592,0.1845635967477681,1,0,0,0,0,1
2,0.3564912248803393,0.22827642557836897,0.23307529507912667,0.2727846046256056,0.42916978187751975,0.1498159895563413,0.241480170667137,0.32488076060519916,0.27258968777025616,0.3146870313333052,0.1405740795340985,0.10107642444666454,0,1,0,0,0,1
3,0.24393514457015325,0.48034618930495887,0.37169695393556024,0.5164140941105947,0.44857610247906265,0.17306603165023365,0.49152175525017894,0.18949903660886322,0.44493484030656383,0.2989148987584048,0.23583391823241323,0.026907170511963157,0,0,1,0,0,0
4,0.1554475742851039,0.45695016258566123,0.22723203555688398,0.275625655627154,0.7374035133466839,0.5142681894815562,0.48521492716184733,0.4246241195236741,0.6957735663376377,0.8278260002378095,0.41236820201587965,0.018334310270729477,0,0,0,1,0,0
5,0.10964846490330929,0.5447459203812859,0.27571765249959335,0.5063392901743343,0.42985631662901236,0.21439312269622496,0.38129655719733946,0.34710192994093303,0.3477842722094654,0.445213702423738,0.1049713377707387,0.13680293118753256,0,1,1,0,0,0
6,0.16528861757205782,0.33287500374429624,0.15797695498287379,0.17368187721664408,0.39295660163260815,0.08870185351617026,0.14272029307611686,0.10515335291702202,0.11392136104732653,0.121324981876623,0.2133868396402414,0.10503255172085905,1,1,0,0,0,0
7,0.08151474792838084,0.3744972658317164,0.30727297492654837,0.5894556421399669,0.578031702830275,0.1467039571174394,0.22423709825785654,0.1305173884203544,0.41866966868457933,0.29483378274194233,0.1043633906230023,0.023697978083655452,0,0,0,0,0,1
8,0.3996599953635731,0.19699923782770914,0.35644758298562623,0.4781707377990908,0.3784925163637697,0.07699282690918581,0.17726355406897634,0.04187908651568275,0.16138579906360903,0.20684430772535317,0.18761301163449068,0.48849163576854526,1,1,0,0,0,0
9,0.028333719702238365,0.9296861946967454,0.12014731230213939,0.029529759228732688,0.22810269907979897,0.36718301841270673,0.23822955892284914,0.25704775893110965,0.37705767452956795,0.42740101184060636,0.1358566184048824,0.016166697841083044,0,0,1,1,1,0
10,0.3204028539783118,0.31036279733872074,0.3045930583703742,0.36203887556821024,0.29878318336181997,0.23867346291692088,0.44007110462681104,0.23577497709971892,0.3584155906122327,0.29552036147027577,0.09041191680778173,0.050364302770102336,0,1,1,0,0,0
11,0.2053967402585793,0.3424227926125869,0.23333881505883936,0.40364466257055787,0.34365851720716845,0.20548780443359843,0.31698274289905676,0.17563410088758333,0.3832679748307638,0.25750921511393754,0.0876983329723919,0.20303365648378857,0,0,1,0,0,0
12,0.4665427255826216,0.2238388521485604,0.2307864295227104,0.397361569009441,0.2922132291375942,0.20424539682331422,0.17524244312932508,0.05000868631352854,0.06276652849431907,0.06287373471978763,0.04620659244319085,0.738662886534091,1,0,0,0,0,0
13,0.03858234430469506,0.6204661565548482,0.2965195504906635,0.29335256506318985,0.31885770395888124,0.3599818650036116,0.2749763017978569,0.19568921949524623,0.46871365520532027,0.49077337915639035,0.33571206788134333,0.011122072550269528,0,0,1,0,1,0
14,0.11570612326531726,0.39524782248374984,0.20635850249457738,0.4401662170937607,0.34392335257124573,0.23985354969958445,0.33380896743977256,0.10822199058719481,0.18688679807950379,0.22195671101939685,0.24236739315915956,0.04613417427103475,0,0,0,0,1,0
