,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_0,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Mean_Mem40_MFCC_3,Mean_Acc1298_Mean_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_0,Mean_Acc1298_Std_Mem40_MFCC_3,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_9,Mean_Acc1298_Std_Mem40_MFCC_12,Std_Acc1298_Mean_Mem40_Centroid,Std_Acc1298_Mean_Mem40_MFCC_0,Std_Acc1298_Mean_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_10,Std_Acc1298_Mean_Mem40_MFCC_12,Std_Acc1298_Std_Mem40_MFCC_2,Std_Acc1298_Std_Mem40_MFCC_5,Std_Acc1298_Std_Mem40_MFCC_6,Std_Acc1298_Std_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_MFCC_10,Std_Acc1298_Std_Mem40_MFCC_12,BH_HighPeakAmp,BHSUM1,BHSUM2,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.6026286917415518,0.5128608253427279,0.5297333315420018,0.5928313370930776,0.2456306769286976,0.15751488013378373,0.30128534205231683,0.5832736775134382,0.43005327178846864,0.4161983615565211,0.34275801970378694,0.3889293971515566,0.2613899879107593,0.02755864986010126,0.5713540485187081,0.24024365559548128,0.13163165962634835,0.14460729523229277,0.4347157517853729,0.2856471055197467,0.6630820082680392,0.2970804878776131,0.19702610433538126,0.1643231565242122,0.008472739978717466,0.1367350963273928,0.058442009940120096,0,1,1,0,0,0
1,0.35524878369553525,0.853088987372979,0.26057713749388434,0.15393026519662506,0.2680428419720624,0.5390779578352896,0.10056880067772,0.13350195768205975,0.34901167294514557,0.17118206055891894,0.19135727309056394,0.28925261246545286,0.34132771021650943,0.18179058138256943,0.028513142996172663,0.011350872701583373,0.12867071623682574,0.06270139079724613,0.041256200283007124,0.2104294188091435,0.2059960480788313,0.15551371408052594,0.08663107983180751,0.09352608699763891,0.02510065047735592,0.15676355740498302,0.1913774393803673,0.15372754503508523,1,0,0,0,0,1
2,0.3564912248803393,0.7911424375162845,0.22827642557836897,0.3781660199491516,0.2799486130612836,0.43564258376049003,0.11742378400976977,0.23307529507912667,0.44835923581131765,0.4468474461780947,0.2727846046256056,0.4576919150301537,0.4868936432154358,0.2504368611935377,0.17347444859305838,0.13416466287729034,0.241480170667137,0.18289749831591695,0.09250718075686669,0.21827226039706898,0.243409869448543,0.5299325114399095,0.27258968777025616,0.19808213046178286,0.1405740795340985,0.0,0.10511395287689791,0.025554507958492907,0,1,0,0,0,1
3,0.24393514457015325,0.43898731455852125,0.48034618930495887,0.4731279197285571,0.37647136341847987,0.5814363468695597,0.21376783690713258,0.37169695393556024,0.521326758076766,0.3755963011672714,0.5164140941105947,0.6682861643246241,0.515022662235592,0.305121441916694,0.09521536921104592,0.23401259632771843,0.49152175525017894,0.2523052279936349,0.11236272662108296,0.40744202030757676,0.622807244613566,0.46122860483744743,0.44493484030656383,0.23579329628310325,0.23583391823241323,0.11716851546387075,0.057287836856201896,0.1345748749141295,0,0,1,0,0,0
4,0.1554475742851039,0.1260260812770264,0.45695016258566123,0.30153746386339303,0.3619904655188092,0.15000847343852133,0.045284015270702915,0.22723203555688398,0.18833824328386095,0.30262776785577217,0.275625655627154,0.47846766960060094,0.6444282411393774,0.41872595889658193,0.34099735174943624,0.5354545955370047,0.48521492716184733,0.38590833886588044,0.3402285116449043,0.3667830322498067,0.4815131198605611,0.5426798390586589,0.6957735663376377,0.715683091287942,0.41236820201587965,0.0817034875674155,0.10873653577906423,0.17288188389472484,0,0,0,1,0,0
5,0.10964846490330929,0.6846461407958984,0.5447459203812859,0.6975353214842092,0.39285461072159034,0.3632265973532059,0.2337473732850715,0.27571765249959335,0.4432438480232038,0.40884997415729774,0.5063392901743343,0.5205515164331918,0.4006580658871981,0.26692905813825685,0.06613140188839917,0.2213248018354927,0.38129655719733946,0.24895813827557997,0.17289111545688532,0.5235995364079329,0.4099729923291312,0.3399885831085249,0.3477842722094654,0.14145075923550016,0.1049713377707387,0.03055677195243422,0.22487755747779545,0.13678650991647961,0,1,1,0,0,0
6,0.16528861757205782,0.7102249074910352,0.33287500374429624,0.5350082685329134,0.4294535475329183,0.22731264347072044,0.05032290715456639,0.15797695498287379,0.1618880379572204,0.223291183288727,0.17368187721664408,0.28079901699834475,0.24012076754811829,0.25081464996153413,0.08699924202015666,0.13039038245911944,0.14272029307611686,0.13664459322200143,0.08297131582548156,0.23478728944170818,0.21498710016998437,0.28214453416320634,0.11392136104732653,0.12902747874550402,0.2133868396402414,0.2032215357458076,0.4209326577269142,0.23767344452695432,1,1,0,0,0,0
7,0.08151474792838084,0.7170481957976917,0.3744972658317164,0.4504364265420007,0.5805718376764596,0.2470964717482354,0.20139064614436758,0.30727297492654837,0.6252919184458325,0.6827519151745278,0.5894556421399669,0.5950222779677827,0.453096317249314,0.26288465765468727,0.10168159231913759,0.09518790791426592,0.22423709825785654,0.06475876878330167,0.06975117783557544,0.317930527818154,0.28367977358425445,0.4234101518262423,0.41866966868457933,0.1369650124358897,0.1043633906230023,0.033895497768510474,0.1320630060920447,0.048697688518799735,0,0,0,0,0,1
8,0.3996599953635731,0.5347055311422504,0.19699923782770914,0.4583464257619693,0.5068302705135457,0.6832320555681496,0.22733323798312305,0.35644758298562623,0.36232969646170676,0.38077917027014585,0.4781707377990908,0.25909531761600235,0.3769021072031834,0.2482443125618199,0.07315909154712108,0.11198133721344732,0.17726355406897634,0.08002373523539466,0.06297556149548938,0.20377010462382233,0.3243077666468208,0.17376692968483853,0.16138579906360903,0.06966304885775802,0.18761301163449068,0.6557845154820222,0.6300793035371294,0.6698233640103128,1,1,0,0,0,0
9,0.028333719702238365,0.372588954073257,0.9296861946967454,0.3234637643350814,0.24603770327819074,0.004051844238391937,0.02983728119877216,0.12014731230213939,0.05248985218947133,0.14640274700250244,0.029529759228732688,0.1701967461770133,0.15344733457667237,0.13066545774260896,0.03988284064643516,0.33257991392887465,0.23822955892284914,0.2327147418671556,0.14333922509202238,0.35951003718906094,0.3834916690395451,0.5619136183259523,0.37705767452956795,0.4654774026170534,0.1358566184048824,0.0,0.047225601739820225,0.07664405525750029,0,0,1,1,1,0
