,Mean_Acc1298_Mean_Mem40_MFCC_0,Mean_Acc1298_Mean_Mem40_MFCC_3,Mean_Acc1298_Std_Mem40_Centroid,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_2,Mean_Acc1298_Std_Mem40_MFCC_3,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_Centroid,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.6026286917415518,0.5297333315420018,0.1358240288331135,0.15751488013378373,0.4594759515170231,0.5832736775134382,0.43005327178846864,0.4161983615565211,0.34275801970378694,0.2582031178274361,0,1,1,0,0,0
1,0.853088987372979,0.15393026519662506,0.3676593531127501,0.10056880067772,0.319751717748784,0.34901167294514557,0.17118206055891894,0.19135727309056394,0.28925261246545286,0.20778171535594278,1,0,0,0,0,1
2,0.7911424375162845,0.3781660199491516,0.4695598863024133,0.11742378400976977,0.27048498417355055,0.44835923581131765,0.4468474461780947,0.2727846046256056,0.4576919150301537,0.5399643781788803,0,1,0,0,0,1
3,0.43898731455852125,0.4731279197285571,0.266415243898663,0.21376783690713258,0.5186048019763763,0.521326758076766,0.3755963011672714,0.5164140941105947,0.6682861643246241,0.4400580231725455,0,0,1,0,0,0
4,0.1260260812770264,0.30153746386339303,0.178553514035707,0.045284015270702915,0.30923307341928513,0.18833824328386095,0.30262776785577217,0.275625655627154,0.47846766960060094,0.5038284276821946,0,0,0,1,0,0
5,0.6846461407958984,0.6975353214842092,0.3355317343836117,0.2337473732850715,0.4465516868679071,0.4432438480232038,0.40884997415729774,0.5063392901743343,0.5205515164331918,0.5203723765630451,0,1,1,0,0,0
6,0.7102249074910352,0.5350082685329134,0.18478334912466482,0.05032290715456639,0.3358993283409249,0.1618880379572204,0.223291183288727,0.17368187721664408,0.28079901699834475,0.2813756633187051,1,1,0,0,0,0
7,0.7170481957976917,0.4504364265420007,0.1883255615211697,0.20139064614436758,0.45487593607658455,0.6252919184458325,0.6827519151745278,0.5894556421399669,0.5950222779677827,0.4931969666366758,0,0,0,0,0,1
8,0.5347055311422504,0.4583464257619693,0.49750125401750056,0.22733323798312305,0.4573488767080986,0.36232969646170676,0.38077917027014585,0.4781707377990908,0.25909531761600235,0.20583536842878383,1,1,0,0,0,0
9,0.372588954073257,0.3234637643350814,0.01992184839083236,0.02983728119877216,0.1344306338300008,0.05248985218947133,0.14640274700250244,0.029529759228732688,0.1701967461770133,0.35601623179890196,0,0,1,1,1,0
10,0.6455731816891255,0.5240044122904869,0.34461020181940916,0.12974596503581132,0.5136644792712113,0.5600605312986828,0.495439914437627,0.36203887556821024,0.43959425658676765,0.49707129872752986,0,1,1,0,0,0
11,0.5996215282118751,0.5362368680517804,0.26089137421740016,0.11340807322896151,0.46466702694356526,0.5217648135277592,0.37569864850342616,0.40364466257055787,0.508296811078458,0.35564899652962667,0,0,1,0,0,0
