,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_0,Mean_Acc1298_Std_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_9,Mean_Acc1298_Std_Mem40_MFCC_10,Std_Acc1298_Mean_Mem40_MFCC_0,Std_Acc1298_Mean_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_6,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_Centroid,Std_Acc1298_Std_Mem40_MFCC_0,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.6026286917415518,0.2456306769286976,0.34275801970378694,0.3889293971515566,0.3235212456008769,0.5713540485187081,0.24024365559548128,0.2397882202003958,0.12868852459016394,0.2582031178274361,0.6136395062838025,0,1,1,0,0,0
1,0.35524878369553525,0.853088987372979,0.5390779578352896,0.28925261246545286,0.34132771021650943,0.2656691715225292,0.011350872701583373,0.12867071623682574,0.11672644808051971,0.05970419154110996,0.20778171535594278,0.44400018321634577,1,0,0,0,0,1
2,0.3564912248803393,0.7911424375162845,0.43564258376049003,0.4576919150301537,0.4868936432154358,0.43373730744822003,0.13416466287729034,0.241480170667137,0.3514035832708414,0.32488076060519916,0.5399643781788803,0.3161510394070704,0,1,0,0,0,1
3,0.24393514457015325,0.43898731455852125,0.5814363468695597,0.6682861643246241,0.515022662235592,0.42557909767495516,0.23401259632771843,0.49152175525017894,0.24303358299979222,0.18949903660886322,0.4400580231725455,0.4789100269466306,0,0,1,0,0,0
4,0.1554475742851039,0.1260260812770264,0.15000847343852133,0.47846766960060094,0.6444282411393774,0.7054174118733053,0.5354545955370047,0.48521492716184733,0.45688600572817384,0.4246241195236741,0.5038284276821946,0.6863839575076356,0,0,0,1,0,0
5,0.10964846490330929,0.6846461407958984,0.3632265973532059,0.5205515164331918,0.4006580658871981,0.3176022615819535,0.2213248018354927,0.38129655719733946,0.44578653969516,0.34710192994093303,0.5203723765630451,0.6019032894247873,0,1,1,0,0,0
6,0.16528861757205782,0.7102249074910352,0.22731264347072044,0.28079901699834475,0.24012076754811829,0.2505895546068194,0.13039038245911944,0.14272029307611686,0.15565905620657566,0.10515335291702202,0.2813756633187051,0.4038092579565156,1,1,0,0,0,0
7,0.08151474792838084,0.7170481957976917,0.2470964717482354,0.5950222779677827,0.453096317249314,0.33475343275832226,0.09518790791426592,0.22423709825785654,0.20875037269269342,0.1305173884203544,0.4931969666366758,0.38899033965890656,0,0,0,0,0,1
8,0.3996599953635731,0.5347055311422504,0.6832320555681496,0.25909531761600235,0.3769021072031834,0.32364023827381294,0.11198133721344732,0.17726355406897634,0.05257632294612445,0.04187908651568275,0.20583536842878383,0.4363377213071968,1,1,0,0,0,0
9,0.028333719702238365,0.372588954073257,0.004051844238391937,0.1701967461770133,0.15344733457667237,0.23203210638666127,0.33257991392887465,0.23822955892284914,0.32561415238387803,0.25704775893110965,0.35601623179890196,0.612597031203818,0,0,1,1,1,0
