,Mean_Acc1298_Mean_Mem40_Centroid,Mean_Acc1298_Std_Mem40_Centroid,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_2,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_8,Mean_Acc1298_Std_Mem40_MFCC_9,Mean_Acc1298_Std_Mem40_MFCC_12,Std_Acc1298_Mean_Mem40_MFCC_1,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Mean_Mem40_MFCC_8,Std_Acc1298_Mean_Mem40_MFCC_9,Std_Acc1298_Std_Mem40_Rolloff,Std_Acc1298_Std_Mem40_MFCC_4,Std_Acc1298_Std_Mem40_MFCC_8,BH_LowPeakAmp,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.1324975298443397,0.1358240288331135,0.15751488013378373,0.4594759515170231,0.43005327178846864,0.34275801970378694,0.309345362377554,0.3889293971515566,0.2613899879107593,0.3264036946410648,0.5246449355041527,0.12868852459016394,0.17325195289171308,0.20486316283662914,0.47005092223213024,0.37060930771691875,0.273670615951024,0.031926147286293116,0,1,1,0,0,0
1,0.38428063127999956,0.3676593531127501,0.10056880067772,0.319751717748784,0.17118206055891894,0.28925261246545286,0.20864107118742664,0.34132771021650943,0.18179058138256943,0.2362473240311298,0.192754014303063,0.05970419154110996,0.07369747497670863,0.08034129919981581,0.3007345003989299,0.16747439145280318,0.07146215078413456,0.1845635967477681,1,0,0,0,0,1
2,0.5417820755786644,0.4695598863024133,0.11742378400976977,0.27048498417355055,0.4468474461780947,0.4576919150301537,0.2575350327734322,0.4868936432154358,0.2504368611935377,0.1498159895563413,0.35130857810557625,0.32488076060519916,0.10273225675449703,0.21460801587237344,0.29185830947575914,0.3929869557692005,0.153845138048881,0.10107642444666454,0,1,0,0,0,1
3,0.1742877042940214,0.266415243898663,0.21376783690713258,0.5186048019763763,0.3755963011672714,0.6682861643246241,0.4825095827230515,0.515022662235592,0.305121441916694,0.17306603165023365,0.352152636822205,0.18949903660886322,0.16102876185470966,0.18512612546981705,0.6089665368188859,0.28408047876050957,0.35579213699773404,0.026907170511963157,0,0,1,0,0,0
4,0.3474361673982647,0.178553514035707,0.045284015270702915,0.30923307341928513,0.30262776785577217,0.47846766960060094,0.4780947780651729,0.6444282411393774,0.41872595889658193,0.5142681894815562,0.3675717808777636,0.4246241195236741,0.3353115071307422,0.485055343750028,0.4227659923968649,0.3707535442858717,0.7838413877253496,0.018334310270729477,0,0,0,1,0,0
5,0.22802641311801136,0.3355317343836117,0.2337473732850715,0.4465516868679071,0.40884997415729774,0.5205515164331918,0.314015966011198,0.4006580658871981,0.26692905813825685,0.21439312269622496,0.34572027779292996,0.34710192994093303,0.2497390172236688,0.36160105192248365,0.3487351574599896,0.31422067670553183,0.2401738882403588,0.13680293118753256,0,1,1,0,0,0
6,0.29083585748146706,0.18478334912466482,0.05032290715456639,0.3358993283409249,0.223291183288727,0.28079901699834475,0.14615989903082044,0.24012076754811829,0.25081464996153413,0.08870185351617026,0.18472756138804594,0.10515335291702202,0.07270789039917824,0.11210673199810409,0.21184352560191488,0.17709628184350074,0.12142596808527498,0.10503255172085905,1,1,0,0,0,0
7,0.18761304674128426,0.1883255615211697,0.20139064614436758,0.45487593607658455,0.6827519151745278,0.5950222779677827,0.4295851641787944,0.453096317249314,0.26288465765468727,0.1467039571174394,0.25422172905715196,0.1305173884203544,0.11396825207233462,0.12249914333433165,0.3107488149434458,0.5919468789828961,0.19407131953284706,0.023697978083655452,0,0,0,0,0,1
8,0.3841726463331011,0.49750125401750056,0.22733323798312305,0.4573488767080986,0.38077917027014585,0.25909531761600235,0.240066689519773,0.3769021072031834,0.2482443125618199,0.07699282690918581,0.2417539195617785,0.04187908651568275,0.04831047992164546,0.08768119265848767,0.08648566198901769,0.22106221054343095,0.09429950823222427,0.48849163576854526,1,1,0,0,0,0
9,0.15991490786184404,0.01992184839083236,0.02983728119877216,0.1344306338300008,0.14640274700250244,0.1701967461770133,0.11938670572470306,0.15344733457667237,0.13066545774260896,0.36718301841270673,0.24501603424466795,0.25704775893110965,0.24774312606005588,0.1706235176985778,0.26977049795841745,0.26620301165955973,0.3361584009888177,0.016166697841083044,0,0,1,1,1,0
