,Mean_Acc1298_Mean_Mem40_MFCC_0,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Std_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_8,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_8,Std_Acc1298_Std_Mem40_Centroid,Std_Acc1298_Std_Mem40_Rolloff,Std_Acc1298_Std_Mem40_MFCC_0,Std_Acc1298_Std_Mem40_MFCC_4,Std_Acc1298_Std_Mem40_MFCC_11,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.6026286917415518,0.5128608253427279,0.2456306769286976,0.43005327178846864,0.309345362377554,0.5246449355041527,0.17325195289171308,0.2582031178274361,0.47005092223213024,0.6136395062838025,0.37060930771691875,0.19624448220411178,0,1,1,0,0,0
1,0.853088987372979,0.26057713749388434,0.5390779578352896,0.17118206055891894,0.20864107118742664,0.192754014303063,0.07369747497670863,0.20778171535594278,0.3007345003989299,0.44400018321634577,0.16747439145280318,0.08564940300751193,1,0,0,0,0,1
2,0.7911424375162845,0.22827642557836897,0.43564258376049003,0.4468474461780947,0.2575350327734322,0.35130857810557625,0.10273225675449703,0.5399643781788803,0.29185830947575914,0.3161510394070704,0.3929869557692005,0.10806680120446253,0,1,0,0,0,1
3,0.43898731455852125,0.48034618930495887,0.5814363468695597,0.3755963011672714,0.4825095827230515,0.352152636822205,0.16102876185470966,0.4400580231725455,0.6089665368188859,0.4789100269466306,0.28408047876050957,0.22019479129179065,0,0,1,0,0,0
4,0.1260260812770264,0.45695016258566123,0.15000847343852133,0.30262776785577217,0.4780947780651729,0.3675717808777636,0.3353115071307422,0.5038284276821946,0.4227659923968649,0.6863839575076356,0.3707535442858717,0.5733587831466356,0,0,0,1,0,0
5,0.6846461407958984,0.5447459203812859,0.3632265973532059,0.40884997415729774,0.314015966011198,0.34572027779292996,0.2497390172236688,0.5203723765630451,0.3487351574599896,0.6019032894247873,0.31422067670553183,0.1777106101122009,0,1,1,0,0,0
6,0.7102249074910352,0.33287500374429624,0.22731264347072044,0.223291183288727,0.14615989903082044,0.18472756138804594,0.07270789039917824,0.2813756633187051,0.21184352560191488,0.4038092579565156,0.17709628184350074,0.14121457563651107,1,1,0,0,0,0
7,0.7170481957976917,0.3744972658317164,0.2470964717482354,0.6827519151745278,0.4295851641787944,0.25422172905715196,0.11396825207233462,0.4931969666366758,0.3107488149434458,0.38899033965890656,0.5919468789828961,0.11077729743026736,0,0,0,0,0,1
8,0.5347055311422504,0.19699923782770914,0.6832320555681496,0.38077917027014585,0.240066689519773,0.2417539195617785,0.04831047992164546,0.20583536842878383,0.08648566198901769,0.4363377213071968,0.22106221054343095,0.09946154511951237,1,1,0,0,0,0
9,0.372588954073257,0.9296861946967454,0.004051844238391937,0.14640274700250244,0.11938670572470306,0.24501603424466795,0.24774312606005588,0.35601623179890196,0.26977049795841745,0.612597031203818,0.26620301165955973,0.18684429907478695,0,0,1,1,1,0
