,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_Flux,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Mean_Mem40_MFCC_3,Mean_Acc1298_Std_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_10,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_Rolloff,Std_Acc1298_Std_Mem40_MFCC_1,Std_Acc1298_Std_Mem40_MFCC_9,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.2292269112597145,0.5128608253427279,0.5297333315420018,0.2456306769286976,0.34275801970378694,0.3235212456008769,0.12868852459016394,0.47005092223213024,0.45831376607260116,0.28641072750495755,0,1,1,0,0,0
1,0.35524878369553525,0.16719004156876938,0.26057713749388434,0.15393026519662506,0.5390779578352896,0.28925261246545286,0.2656691715225292,0.05970419154110996,0.3007345003989299,0.29467338434633306,0.06749183968578476,1,0,0,0,0,1
2,0.3564912248803393,0.15224561720585583,0.22827642557836897,0.3781660199491516,0.43564258376049003,0.4576919150301537,0.43373730744822003,0.32488076060519916,0.29185830947575914,0.3456860299320653,0.3146870313333052,0,1,0,0,0,1
3,0.24393514457015325,0.2543263148382433,0.48034618930495887,0.4731279197285571,0.5814363468695597,0.6682861643246241,0.42557909767495516,0.18949903660886322,0.6089665368188859,0.3785494656809726,0.2989148987584048,0,0,1,0,0,0
4,0.1554475742851039,0.10004744261702525,0.45695016258566123,0.30153746386339303,0.15000847343852133,0.47846766960060094,0.7054174118733053,0.4246241195236741,0.4227659923968649,0.4748448254246184,0.8278260002378095,0,0,0,1,0,0
5,0.10964846490330929,0.2918624615940719,0.5447459203812859,0.6975353214842092,0.3632265973532059,0.5205515164331918,0.3176022615819535,0.34710192994093303,0.3487351574599896,0.3598435185795125,0.445213702423738,0,1,1,0,0,0
6,0.16528861757205782,0.08123983372492327,0.33287500374429624,0.5350082685329134,0.22731264347072044,0.28079901699834475,0.2505895546068194,0.10515335291702202,0.21184352560191488,0.19782447476513976,0.121324981876623,1,1,0,0,0,0
7,0.08151474792838084,0.30471715163564084,0.3744972658317164,0.4504364265420007,0.2470964717482354,0.5950222779677827,0.33475343275832226,0.1305173884203544,0.3107488149434458,0.2883771533726166,0.29483378274194233,0,0,0,0,0,1
8,0.3996599953635731,0.29717151635640704,0.19699923782770914,0.4583464257619693,0.6832320555681496,0.25909531761600235,0.32364023827381294,0.04187908651568275,0.08648566198901769,0.12565156322049137,0.20684430772535317,1,1,0,0,0,0
9,0.028333719702238365,0.030532712814025142,0.9296861946967454,0.3234637643350814,0.004051844238391937,0.1701967461770133,0.23203210638666127,0.25704775893110965,0.26977049795841745,0.6365483139573184,0.42740101184060636,0,0,1,1,1,0
10,0.3204028539783118,0.19532803180914515,0.31036279733872074,0.5240044122904869,0.4749835483239098,0.43959425658676765,0.25305234235273755,0.23577497709971892,0.5656239733420942,0.5860169698618146,0.29552036147027577,0,1,1,0,0,0
11,0.2053967402585793,0.16505512380263876,0.3424227926125869,0.5362368680517804,0.25563813795638274,0.508296811078458,0.2804585184330468,0.17563410088758333,0.29252123715210965,0.2366441492650856,0.25750921511393754,0,0,1,0,0,0
12,0.4665427255826216,0.26301283209831916,0.2238388521485604,0.37340582344541656,0.589480611232038,0.1903945861985985,0.1669232821785035,0.05000868631352854,0.11892218519735298,0.20756100204207834,0.06287373471978763,1,0,0,0,0,0
