,Mean_Acc1298_Mean_Mem40_Centroid,Mean_Acc1298_Mean_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_8,Std_Acc1298_Mean_Mem40_MFCC_1,Std_Acc1298_Mean_Mem40_MFCC_9,Std_Acc1298_Mean_Mem40_MFCC_11,Std_Acc1298_Std_Mem40_MFCC_4,BHSUM3,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.1324975298443397,0.5928313370930776,0.309345362377554,0.3264036946410648,0.20486316283662914,0.24565315641440805,0.37060930771691875,0.1184373246186931,0,1,1,0,0,0
1,0.38428063127999956,0.2680428419720624,0.20864107118742664,0.2362473240311298,0.08034129919981581,0.07567233140705834,0.16747439145280318,0.20769645846985257,1,0,0,0,0,1
2,0.5417820755786644,0.2799486130612836,0.2575350327734322,0.1498159895563413,0.21460801587237344,0.13148779513911746,0.3929869557692005,0.1336212374364537,0,1,0,0,0,1
3,0.1742877042940214,0.37647136341847987,0.4825095827230515,0.17306603165023365,0.18512612546981705,0.2038464069925099,0.28408047876050957,0.10254728521057734,0,0,1,0,0,0
4,0.3474361673982647,0.3619904655188092,0.4780947780651729,0.5142681894815562,0.485055343750028,0.5230323693182566,0.3707535442858717,0.19977714796726398,0,0,0,1,0,0
5,0.22802641311801136,0.39285461072159034,0.314015966011198,0.21439312269622496,0.36160105192248365,0.23364092303236927,0.31422067670553183,0.189778897945864,0,1,1,0,0,0
6,0.29083585748146706,0.4294535475329183,0.14615989903082044,0.08870185351617026,0.11210673199810409,0.18975958859329273,0.17709628184350074,0.3455865919502737,1,1,0,0,0,0
7,0.18761304674128426,0.5805718376764596,0.4295851641787944,0.1467039571174394,0.12249914333433165,0.13611875331832685,0.5919468789828961,0.09634610895618011,0,0,0,0,0,1
8,0.3841726463331011,0.5068302705135457,0.240066689519773,0.07699282690918581,0.08768119265848767,0.11551419256607036,0.22106221054343095,0.6822456636903396,1,1,0,0,0,0
9,0.15991490786184404,0.24603770327819074,0.11938670572470306,0.36718301841270673,0.1706235176985778,0.2348589957920325,0.26620301165955973,0.07265829345242146,0,0,1,1,1,0
10,0.32707560566057087,0.25752347014425025,0.2249511774543717,0.23867346291692088,0.20219558239324953,0.23626662454311298,0.550781762203725,0.24421345765679908,0,1,1,0,0,0
11,0.3585586169288001,0.22487681160537173,0.3754661514329936,0.20548780443359843,0.18016061244625042,0.2555214764305554,0.2890605741139941,0.3921009647085701,0,0,1,0,0,0
12,0.553228479949895,0.377606916120918,0.17511712217062952,0.20424539682331422,0.04126295453870915,0.047025682204114946,0.09167151826034964,0.7868677983194946,1,0,0,0,0,0
13,0.11762800265642971,0.7882835776036794,0.31177740035526186,0.3599818650036116,0.16401302671447804,0.16768684648158633,0.4703475839063459,0.09524996209353533,0,0,1,0,1,0
14,0.2493534401304458,0.48719025651854264,0.1652227658491487,0.23985354969958445,0.23177100899476466,0.18817820018341297,0.5991403500490404,0.10592191005343714,0,0,0,0,1,0
15,0.384383216979553,0.5549712316373383,0.1717436920232271,0.08272998754312345,0.007940683659675735,8.687982939960259e-05,0.09516204322901095,0.764931130015814,1,0,0,0,0,1
16,0.14232955925943924,0.7690427602831676,0.26958744948944074,0.3905099593055929,0.21334797534601646,0.19564898793774488,0.2088230820470054,0.3402747203467002,0,0,1,1,1,0
17,0.3433219409214356,0.3780727740161497,0.3478138926111752,0.18013889891124418,0.17975948605456218,0.12375022487834632,0.22828977388950955,0.7818498296327177,0,1,1,0,0,0
18,0.3338084670996863,0.40596876093359613,0.45130210767968254,0.25896891466274224,0.32008716854233726,0.15372288844717663,0.49590368144173635,0.2190377221180058,0,0,0,0,1,1
19,0.10942114669215112,0.3197018201210537,0.15778122305670678,0.28368950961890993,0.2906790278351137,0.14580980337953764,0.2571344651970272,0.16945635848443086,0,0,1,1,1,0
20,0.4353953058943583,0.3020504683239751,0.29032015124601357,0.13186722675232682,0.23423083115007254,0.11467786451134483,0.34458378571166326,0.4051165401024102,1,0,0,0,0,1
21,0.2582945937336335,0.399568513092572,0.09272388253503266,0.13934281047252306,0.11587426216577673,0.08454460489423038,0.23749468947177949,0.32521234193588533,0,1,0,0,0,0
22,0.4263947605703765,0.47130061050889094,0.1343256256037894,0.2031079506069174,0.10633446925851875,0.1135299976744288,0.23136856901588698,0.15187214112949285,0,1,0,0,0,0
23,0.586417653379119,0.2496208402242283,0.3514509125660921,0.2239351338585776,0.1447913378284672,0.09461476693827585,0.5384324894182808,0.1359257167681547,0,0,0,0,0,1
24,0.33535265184033347,0.2862848969563951,0.3725017399524239,0.15346959363175894,0.12580259005332461,0.09517904704235612,0.455478104888833,0.09876832474460974,0,0,0,0,0,1
25,0.2095231924669701,0.35257427909550354,0.40136547311124265,0.1746043720793945,0.16598897891748038,0.11025050350810221,0.34738197514935043,0.4098093458206041,0,0,1,0,0,1
26,0.1573556646203519,0.359827636432014,0.25650794145449635,0.3374468724055766,0.27549918200795237,0.2050276216427308,0.3551812398050971,0.42181116065650776,0,0,1,0,0,0
27,0.26404479215597343,0.3732369455751592,0.07126143953795167,0.33963611925655257,0.0853706686669023,0.050571081302846405,0.2321422015220892,0.8429518370246974,1,1,0,0,0,1
28,0.42346836850942976,0.4369030352818961,0.11144654970031259,0.19522746373182948,0.035035602215728656,0.06997512077612648,0.20531157721376908,0.7544601812673993,0,1,0,0,0,0
29,0.2921316768442479,0.33507012143901926,0.3646031350306958,0.18281614335393925,0.1178124401345842,0.17897069341512323,0.39125611694176515,0.1573628085432845,0,0,1,0,0,0
30,0.3599408242490997,0.5089341448791082,0.35360767448866165,0.12165499335608955,0.38716791276670187,0.4302701611664714,0.20631336574722414,0.36673182585872377,0,0,0,0,0,1
31,0.29638628375204495,0.4393043805284501,0.1860463606427955,0.2194316340521002,0.14531837833413827,0.10071127375483215,0.16871220346272664,0.20468468394772965,0,0,1,1,0,0
32,0.3308172840706005,0.4680642660406934,0.24182092513530068,0.09551669068387449,0.16983115816701427,0.07095010552827763,0.17832884888728046,0.14940113628827492,1,0,0,0,0,1
33,0.11011225035230089,0.2905770318571277,0.18522702483717163,0.1406176540691127,0.08850233255896153,0.10332468922909509,0.2514489218972092,0.3902688919538671,0,0,0,0,0,1
34,0.5395845819092819,0.3524555990030872,0.27564352270248366,0.1687750057765211,0.10677876620357254,0.08832519383416483,0.13912272696279745,0.49283516691552975,1,1,0,0,0,0
35,0.11869165438337893,0.4965910299428332,0.19284256287201224,0.2868624050882951,0.27745354893427193,0.2977757886099666,0.2339359799432495,0.19655239608296943,0,1,1,0,0,0
36,0.17008169061232864,0.5973207583812035,0.1892367062440919,0.2597007288256788,0.13480095227045633,0.2865209016195629,0.2763153063846973,0.2610483102189109,0,0,1,1,1,0
