,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_0,Mean_Acc1298_Std_Mem40_MFCC_6,Mean_Acc1298_Std_Mem40_MFCC_9,Mean_Acc1298_Std_Mem40_MFCC_12,Std_Acc1298_Mean_Mem40_MFCC_0,Std_Acc1298_Mean_Mem40_MFCC_2,Std_Acc1298_Mean_Mem40_MFCC_8,Std_Acc1298_Std_Mem40_MFCC_3,Std_Acc1298_Std_Mem40_MFCC_10,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.5928313370930776,0.15751488013378373,0.30128534205231683,0.5819163211154492,0.3889293971515566,0.2613899879107593,0.5713540485187081,0.24674511271627048,0.17325195289171308,0.4489412071236212,0.19702610433538126,0,1,1,0,0,0
1,0.35524878369553525,0.2680428419720624,0.10056880067772,0.13350195768205975,0.39056872181361424,0.34132771021650943,0.18179058138256943,0.011350872701583373,0.0692848342039925,0.07369747497670863,0.13203614327850233,0.09352608699763891,1,0,0,0,0,1
2,0.3564912248803393,0.2799486130612836,0.11742378400976977,0.23307529507912667,0.6260500216915361,0.4868936432154358,0.2504368611935377,0.13416466287729034,0.3122133042577883,0.10273225675449703,0.25416525026105957,0.19808213046178286,0,1,0,0,0,1
3,0.24393514457015325,0.37647136341847987,0.21376783690713258,0.37169695393556024,0.7681184862334411,0.515022662235592,0.305121441916694,0.23401259632771843,0.391381786952572,0.16102876185470966,0.3937736505810485,0.23579329628310325,0,0,1,0,0,0
4,0.1554475742851039,0.3619904655188092,0.045284015270702915,0.22723203555688398,0.3999899109133649,0.6444282411393774,0.41872595889658193,0.5354545955370047,0.4388800122972752,0.3353115071307422,0.21839447795190803,0.715683091287942,0,0,0,1,0,0
5,0.10964846490330929,0.39285461072159034,0.2337473732850715,0.27571765249959335,0.5679631142992623,0.4006580658871981,0.26692905813825685,0.2213248018354927,0.33430400334546995,0.2497390172236688,0.4572767965281609,0.14145075923550016,0,1,1,0,0,0
6,0.16528861757205782,0.4294535475329183,0.05032290715456639,0.15797695498287379,0.25055237749326553,0.24012076754811829,0.25081464996153413,0.13039038245911944,0.24413194174261366,0.07270789039917824,0.21691870205000535,0.12902747874550402,1,1,0,0,0,0
7,0.08151474792838084,0.5805718376764596,0.20139064614436758,0.30727297492654837,1.0,0.453096317249314,0.26288465765468727,0.09518790791426592,0.12886885595718486,0.11396825207233462,0.37686634762766474,0.1369650124358897,0,0,0,0,0,1
8,0.3996599953635731,0.5068302705135457,0.22733323798312305,0.35644758298562623,0.4234995005902116,0.3769021072031834,0.2482443125618199,0.11198133721344732,0.15752924063848445,0.04831047992164546,0.2624275597587462,0.06966304885775802,1,1,0,0,0,0
9,0.028333719702238365,0.24603770327819074,0.02983728119877216,0.12014731230213939,0.2467124711199894,0.15344733457667237,0.13066545774260896,0.33257991392887465,0.44325996181925204,0.24774312606005588,0.26230339102768957,0.4654774026170534,0,0,1,1,1,0
