,Att15,Att31,Att32,Att44,Att65,Att67,Att72,Att84,Att100,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14
0,0.744253852853194,0.6585375669041008,0.38537553886997655,0.39162663469737524,0.5355303692270406,0.5798419623831549,0.28213249076689284,0.1593587358473338,0.2739701989948456,0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0.40007059281738366,0.5497427994498536,0.4922721411722664,0.5559147008487221,0.5584557393151218,0.5624196953238103,0.5169938776645238,0.239963305788897,0.23175880581660752,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0.5132003159096196,0.5813383424116961,0.4149122140305541,0.5347527344960796,0.46356904590304043,0.6160299552577594,0.4826378502530556,0.41311661112125636,0.27933218315669905,0,1,1,0,0,0,0,0,0,0,0,1,1,0
3,0.5513515414117481,0.55760440117131,0.47128138046720514,0.3450729621084295,0.5499639638490437,0.4847046277338343,0.626778040161198,0.21159947954711467,0.21750929607046793,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0.3966275025288998,0.4725932869827878,0.39482418137766706,0.41465079619697304,0.34208065719734415,0.5046251521692937,0.6482776140177884,0.39387640385317746,0.34804943259143367,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,0.6231249628102973,0.8100112917314699,0.7314190698300819,0.3782161762524288,0.9177865511809015,0.9044704508580065,0.12635189675153968,0.36354090577063547,0.4845315530599341,0,0,0,0,0,0,0,0,0,1,1,1,1,0
6,0.7759922212665595,0.5998584390897492,0.5389566490521356,0.2822130211342264,0.739423549146294,0.6344709870499712,0.4230409052578732,0.5103091901022644,0.17631189789860582,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7,0.3264498574620124,0.6582120715000959,0.6192154399832522,0.5697677924665523,0.42616415901828597,0.6321881994078058,0.43654521704754023,0.3335734911431702,0.12235316495033166,1,0,1,1,0,0,0,0,0,0,0,1,1,0
8,0.7461173950438974,0.6022884102331021,0.5369058429306527,0.6130457383591698,0.37855817127695535,0.23032225137076484,0.40305951427167064,0.1455541796018992,0.27744617923466813,1,1,0,0,0,0,0,0,0,0,0,1,1,0
9,0.570769975603555,0.5392145026548589,0.3545094399752517,0.5002936816828263,0.45946921619777154,0.43637784454802,0.5857224671523851,0.049594252191380556,0.22321954800201455,0,0,1,1,0,0,0,0,0,0,0,1,1,0
10,0.6151907087951618,0.5796635206056345,0.5177992103463036,0.7775147172514772,0.5073162953561201,0.5485243798542749,0.5342395331813147,0.17517205761504748,0.24659501280553797,0,0,0,0,1,1,1,1,0,0,0,0,0,0
11,0.43712776488534755,0.8463957598009626,0.5833703358495045,0.49018186554806314,0.9349053174051419,0.6645463915273726,0.2902961057857799,0.34709271137691744,0.3590881813992863,0,0,0,0,0,0,0,0,0,1,1,1,1,0
12,0.3125219757333809,0.8730970355062223,0.7106656585981181,0.7366778872768894,0.6447958057747134,0.7159840810563379,0.5662010404813692,0.13233884222059894,0.4695185332033133,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0.6415345417958164,0.7758011329607299,0.7248012864874812,0.5180991136481778,0.7269480250275852,0.573340138337527,0.26430361252365586,0.11214846603360115,0.24294623817229072,0,0,0,1,1,0,0,0,0,0,0,1,1,0
14,0.42167307681904975,0.6623346187442742,0.4729974971631405,0.7050627827515381,0.5838417725959423,0.4987141322328821,0.4188561318804875,0.1307666407962016,0.25063625842540105,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,0.26472576989446234,0.6344260509950691,0.8079522740879714,0.6171681366831941,0.38036571909660877,0.509223494740354,0.4913621407280364,0.15292440878378377,0.27735777280082297,1,0,1,1,0,0,0,0,0,1,1,1,1,0
16,0.46053834461195586,0.5585737856654192,0.6779994372950695,0.5523784598054103,0.36133225331181795,0.39641664895909257,0.6585486472389365,0.1498327930971512,0.2934504227434927,0,0,0,0,1,1,0,0,0,0,0,1,1,0
17,0.48076954285065154,0.5914062111624803,0.4586111855606182,0.5553852295601771,0.5251417528238949,0.5721148404034547,0.24972154121114926,0.2273000935902118,0.2436896559114435,1,1,0,0,0,0,0,0,0,0,0,1,1,0
18,0.7316228774822435,0.6751496687048597,0.6209848936394342,0.605984111037004,0.7268867954613584,0.6142575429301104,0.2662381683198827,0.1546606784149014,0.26652664516336433,0,0,0,1,1,0,0,0,0,0,0,1,1,0
19,0.4554305079978146,0.5862219570914204,0.6355325495467026,0.5816477291229712,0.7970979736840427,0.670202223806526,0.5797278995413886,0.10408201698319941,0.2296705386898702,0,0,1,1,0,0,0,0,0,0,0,1,1,0
20,0.5409789952559463,0.7116205410088701,0.6755872732679156,0.6460092458471481,0.642460152946354,0.5143242690412689,0.4787146252117565,0.23033321539444848,0.31507115378433115,0,0,1,1,0,0,0,0,0,0,0,1,1,0
21,0.5301101356139412,0.7057521547795745,0.5922376054905067,0.4973411857503477,0.6303902747038976,0.736024752209806,0.2549840741113746,0.4070817544740686,0.48830222141257407,1,1,0,0,0,0,0,0,0,0,0,1,1,0
22,0.5689131951769689,0.6819542980780384,0.6306242157800065,0.517347722730721,0.4680030869906306,0.5394120952991852,0.5707616016979599,0.04967842631482833,0.37586129298427967,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,0.614637596490374,0.7617681383793407,0.35943777510204034,0.49681412663168223,0.7791666400913341,0.6782788635113425,0.19978985944031669,0.3890000114134404,0.28111906471350956,0,0,0,0,1,1,1,1,0,0,1,1,1,0
24,0.4848482389661533,0.6290973953265963,0.4332987976515737,0.558948004472163,0.5161716213716698,0.5349190052248929,0.4459579508439444,0.38319627693571945,0.3361252799537071,0,1,1,0,1,1,0,0,0,0,0,1,1,0
25,0.39662344547042944,0.5343841508594263,0.4886878974436929,0.5947156594450321,0.3516350207606498,0.6104108620576665,0.4407314935762827,0.08609728816654491,0.445323299649589,0,1,1,0,0,0,0,0,1,1,0,1,1,0
26,0.4480764133439358,0.7033789973794662,0.48633440407281037,0.5218054126679926,0.36617704273951285,0.5443798145570161,0.44525447600895285,0.5967845484842951,0.6735659404837171,1,1,0,0,0,1,1,1,0,0,0,1,1,0
27,0.7655480004111153,0.5640752498029273,0.28394864184097857,0.36916089052487616,0.4091755056222774,0.58255966128555,0.38225890579600136,0.16319079848429507,0.27407735830859736,0,0,0,0,1,1,1,1,0,0,0,1,1,0
28,0.5308823290761266,0.8510237126360867,0.5818342313944016,0.37257049264951536,0.6447179932009669,0.621303502525067,0.15420829769611993,0.11195871758582907,0.2336059644874034,1,1,0,0,1,1,0,0,0,0,0,0,0,0
29,0.5427343492207742,0.714358253261464,0.6144697839453084,0.44703779508375663,0.46519418063997653,0.6081360180001628,0.5149120130353286,0.5664148100803506,0.20893789046174946,1,0,0,0,0,1,1,0,0,0,0,0,0,0
30,0.7820196578006415,0.7080815182525987,0.5557217890816576,0.4870014195619741,0.287641194741911,0.5406006541541969,0.38252796988887205,0.031769311541270995,0.26194692399189873,0,0,0,1,1,0,0,0,0,0,0,1,1,0
31,0.5836078609564921,0.4926970667537811,0.27337725632009646,0.5219296394167856,0.4215681147033874,0.45835575741086804,0.5770327491586111,0.32929630432797663,0.244138385537779,0,0,0,0,0,0,0,1,1,0,0,0,0,0
