,Mean_Acc1298_Std_Mem40_Centroid,Mean_Acc1298_Std_Mem40_MFCC_2,Mean_Acc1298_Std_Mem40_MFCC_12,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_6,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Std_Mem40_MFCC_0,BHSUM3,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.1358240288331135,0.4594759515170231,0.2613899879107593,0.5246449355041527,0.2397882202003958,0.12868852459016394,0.6136395062838025,0.1184373246186931,0,1,1,0,0,0
1,0.3676593531127501,0.319751717748784,0.18179058138256943,0.192754014303063,0.11672644808051971,0.05970419154110996,0.44400018321634577,0.20769645846985257,1,0,0,0,0,1
2,0.4695598863024133,0.27048498417355055,0.2504368611935377,0.35130857810557625,0.3514035832708414,0.32488076060519916,0.3161510394070704,0.1336212374364537,0,1,0,0,0,1
3,0.266415243898663,0.5186048019763763,0.305121441916694,0.352152636822205,0.24303358299979222,0.18949903660886322,0.4789100269466306,0.10254728521057734,0,0,1,0,0,0
4,0.178553514035707,0.30923307341928513,0.41872595889658193,0.3675717808777636,0.45688600572817384,0.4246241195236741,0.6863839575076356,0.19977714796726398,0,0,0,1,0,0
5,0.3355317343836117,0.4465516868679071,0.26692905813825685,0.34572027779292996,0.44578653969516,0.34710192994093303,0.6019032894247873,0.189778897945864,0,1,1,0,0,0
6,0.18478334912466482,0.3358993283409249,0.25081464996153413,0.18472756138804594,0.15565905620657566,0.10515335291702202,0.4038092579565156,0.3455865919502737,1,1,0,0,0,0
7,0.1883255615211697,0.45487593607658455,0.26288465765468727,0.25422172905715196,0.20875037269269342,0.1305173884203544,0.38899033965890656,0.09634610895618011,0,0,0,0,0,1
8,0.49750125401750056,0.4573488767080986,0.2482443125618199,0.2417539195617785,0.05257632294612445,0.04187908651568275,0.4363377213071968,0.6822456636903396,1,1,0,0,0,0
9,0.01992184839083236,0.1344306338300008,0.13066545774260896,0.24501603424466795,0.32561415238387803,0.25704775893110965,0.612597031203818,0.07265829345242146,0,0,1,1,1,0
10,0.34461020181940916,0.5136644792712113,0.18250906693043178,0.6687342277293384,0.22040097216324395,0.23577497709971892,0.5743398161959792,0.24421345765679908,0,1,1,0,0,0
11,0.26089137421740016,0.46466702694356526,0.26040636333663025,0.5661444890717363,0.1740370976048283,0.17563410088758333,0.5235752768554545,0.3921009647085701,0,0,1,0,0,0
12,0.46546033279457033,0.4171580328881341,0.1803618529508737,0.10090951633138778,0.09948139247025237,0.05000868631352854,0.42059170237368876,0.7868677983194946,1,0,0,0,0,0
13,0.08482112446665555,0.47694155794024556,0.31385866578744903,0.29582750770131805,0.2266224555253386,0.19568921949524623,0.45525437688293685,0.09524996209353533,0,0,1,0,1,0
14,0.27739486379202505,0.4315009650274068,0.2593664138916363,0.42001036412233683,0.18276849685131147,0.10822199058719481,0.5004893691308114,0.10592191005343714,0,0,0,0,1,0
