,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_2,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_6,Std_Acc1298_Std_Mem40_MFCC_9,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.46740414790778545,0.15751488013378373,0.43005327178846864,0.4161983615565211,0.5246449355041527,0.2397882202003958,0.28641072750495755,0,1,1,0,0,0
1,0.35524878369553525,0.3327572888959274,0.10056880067772,0.17118206055891894,0.19135727309056394,0.192754014303063,0.11672644808051971,0.06749183968578476,1,0,0,0,0,1
2,0.3564912248803393,0.4712781464016883,0.11742378400976977,0.4468474461780947,0.2727846046256056,0.35130857810557625,0.3514035832708414,0.3146870313333052,0,1,0,0,0,1
3,0.24393514457015325,0.47286197234081745,0.21376783690713258,0.3755963011672714,0.5164140941105947,0.352152636822205,0.24303358299979222,0.2989148987584048,0,0,1,0,0,0
4,0.1554475742851039,0.539992210957018,0.045284015270702915,0.30262776785577217,0.275625655627154,0.3675717808777636,0.45688600572817384,0.8278260002378095,0,0,0,1,0,0
5,0.10964846490330929,0.571374620647751,0.2337473732850715,0.40884997415729774,0.5063392901743343,0.34572027779292996,0.44578653969516,0.445213702423738,0,1,1,0,0,0
6,0.16528861757205782,0.5537212880039042,0.05032290715456639,0.223291183288727,0.17368187721664408,0.18472756138804594,0.15565905620657566,0.121324981876623,1,1,0,0,0,0
7,0.08151474792838084,0.5132720767657049,0.20139064614436758,0.6827519151745278,0.5894556421399669,0.25422172905715196,0.20875037269269342,0.29483378274194233,0,0,0,0,0,1
8,0.3996599953635731,0.5867833514862204,0.22733323798312305,0.38077917027014585,0.4781707377990908,0.2417539195617785,0.05257632294612445,0.20684430772535317,1,1,0,0,0,0
9,0.028333719702238365,0.5749349566431486,0.02983728119877216,0.14640274700250244,0.029529759228732688,0.24501603424466795,0.32561415238387803,0.42740101184060636,0,0,1,1,1,0
10,0.3204028539783118,0.5210210433439233,0.12974596503581132,0.495439914437627,0.36203887556821024,0.6687342277293384,0.22040097216324395,0.29552036147027577,0,1,1,0,0,0
11,0.2053967402585793,0.4095249330174623,0.11340807322896151,0.37569864850342616,0.40364466257055787,0.5661444890717363,0.1740370976048283,0.25750921511393754,0,0,1,0,0,0
12,0.4665427255826216,0.6439276168437246,0.14815222294346098,0.34739346921647996,0.397361569009441,0.10090951633138778,0.09948139247025237,0.06287373471978763,1,0,0,0,0,0
13,0.03858234430469506,0.512225403915206,0.16977104947575722,0.3928827662438016,0.29335256506318985,0.29582750770131805,0.2266224555253386,0.49077337915639035,0,0,1,0,1,0
14,0.11570612326531726,0.3420055654489688,0.11611455227575285,0.39425422054827475,0.4401662170937607,0.42001036412233683,0.18276849685131147,0.22195671101939685,0,0,0,0,1,0
