,Att15,Att37,Att47,Att48,Att52,Att53,Att54,Att56,Att61,Att62,Att64,Att78,Att83,Att84,Att85,Att88,Att89,Att92,Att102,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14
0,0.744253852853194,0.7306255676719928,0.4908178125064297,0.4499102425775728,0.5961712318297291,0.547062558541064,0.5132312355842212,0.6043994483046413,0.2080931312254608,0.40443621534076546,0.4130812093601535,0.21548236841982182,0.279674421257493,0.1593587358473338,0.2660939179320418,0.2379759505771385,0.3033989399056713,0.38940416695009183,0.250671106047613,0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0.40007059281738366,0.41199011111269745,0.5782217670309975,0.32322205893295636,0.5379652208092822,0.5344087746798154,0.5539578026398729,0.4616843277708654,0.4445893859984746,0.38459839597298656,0.8214920977761242,0.4868439307800108,0.3728241076285086,0.239963305788897,0.47335707921110404,0.15435376113166277,0.28146202420752897,0.3326237701015129,0.1278159341427228,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0.5132003159096196,0.46090298149293196,0.4793426500206894,0.32124553538209694,0.5320080651618492,0.5307595150228541,0.41276166778018847,0.5339002683301396,0.5029748683328668,0.5150999113812579,0.3841733180265086,0.4849997895527762,0.2903874698647688,0.41311661112125636,0.2245799689512314,0.15237303350554365,0.18449800787164913,0.5391366802844122,0.1425662916373646,0,1,1,0,0,0,0,0,0,0,0,1,1,0
3,0.5513515414117481,0.6288460292339406,0.6173326505464962,0.3334581256045837,0.41102627000822534,0.36008771388487754,0.457133346396557,0.41284793551485177,0.5357549129623114,0.31592442682564337,0.43441358374814526,0.31450012548889994,0.22022611335159417,0.21159947954711467,0.21669261719072946,0.2631415187520357,0.29978362224061383,0.3155822486485621,0.16118396411525246,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0.3966275025288998,0.34977271154739553,0.41444437078068597,0.2808907377781085,0.5884350819982385,0.5300518795538605,0.45480557437656555,0.5564037931357192,0.6048316894735625,0.5723798438198845,0.5704382410461881,0.6577535772130862,0.21401752538454155,0.39387640385317746,0.20626303267469526,0.1864810043454198,0.23488738812529114,0.3371792460757285,0.1776784706049402,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,0.6231249628102973,0.5142188448980084,0.5934152982353466,0.36839724867921725,0.37068299109775005,0.42485830148288023,0.6312747738921246,0.5595151340346635,0.459925942854795,0.43434017929321694,0.29336240419999904,0.530395594014569,0.07427352008714003,0.36354090577063547,0.45803478748128346,0.24949621199081662,0.13743192789877112,0.2185538114349049,0.33531711647449347,0,0,0,0,0,0,0,0,0,1,1,1,1,0
6,0.7759922212665595,0.5945797826948864,0.45191267948873287,0.38726723528536355,0.5286029363594675,0.5090477228811734,0.32935731300506865,0.5636666569501187,0.22662539256193037,0.2747125446913484,0.33054346790331285,0.16251046390362445,0.17038769244466456,0.5103091901022644,0.1464309991640716,0.5178212525719007,0.6788264604786521,0.29166850059419247,0.11145112078343594,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7,0.3264498574620124,0.5150623217358928,0.5186638562672745,0.39040176910484414,0.7308244953814576,0.8075437232322483,0.38271900769864564,0.8582115312921422,0.3765872598085915,0.40806291652892335,0.3273161025678257,0.5483911699462657,0.4523769446179486,0.3335734911431702,0.2833131240756561,0.15554140329785854,0.29364555927027,0.4214055353934675,0.03720292167317554,1,0,1,1,0,0,0,0,0,0,0,1,1,0
8,0.7461173950438974,0.48777452809777294,0.6795218815654412,0.3455788656150012,0.4116187828011152,0.3923536970524788,0.48238707590755964,0.5085600229515088,0.33868433013463295,0.38634437965491475,0.2979873491816445,0.5111778653168945,0.2583262270064534,0.1455541796018992,0.24600293034236317,0.2265099738109676,0.30106992320655035,0.37312889376157876,0.22469893864061474,1,1,0,0,0,0,0,0,0,0,0,1,1,0
9,0.570769975603555,0.6188198572898693,0.5723407319688265,0.3886135966217725,0.5065867914777153,0.40713175870727614,0.31489136670436113,0.3698967028684783,0.5015150386848436,0.34089741061035816,0.4635857900635717,0.4826084855438345,0.5537384380177591,0.049594252191380556,0.5113263703254609,0.14800775343648298,0.36800030768660985,0.36778116109619513,0.1266397516152944,0,0,1,1,0,0,0,0,0,0,0,1,1,0
10,0.6151907087951618,0.5134028249884406,0.41281322655644537,0.4232655424510753,0.3596203259548264,0.45132331946861504,0.5686728158250725,0.7340770072214405,0.5568897026158811,0.6660379088199262,0.4409636039404486,0.8473587314553126,0.2360292859497832,0.17517205761504748,0.2895251743048475,0.23761714229727332,0.3713720401189152,0.3908356307443612,0.2673444996137157,0,0,0,0,1,1,1,1,0,0,0,0,0,0
11,0.43712776488534755,0.5473714384245434,0.7343646767545374,0.28959906801101276,0.49195012410740935,0.45715308376840563,0.501463710600806,0.5944624882442555,0.6089492564755064,0.4303634479635747,0.3411829967193179,0.45945617319650617,0.3461562538690646,0.34709271137691744,0.4628023350878643,0.3727925346693535,0.47208669924915925,0.26964036347776676,0.078342477071708,0,0,0,0,0,0,0,0,0,1,1,1,1,0
12,0.3125219757333809,0.41202086287241196,0.8060058570308375,0.38566392588734283,0.5207707033723732,0.48190112577123345,0.3889114478694748,0.4234921579787944,0.5479150243048154,0.35394297842314204,0.2109120114710433,0.7715774656230562,0.22880378608402668,0.13233884222059894,0.2226646824850038,0.2179793400575682,0.26237833202519045,0.3484338925811963,0.2069399241295187,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0.6415345417958164,0.6570047566382615,0.5289891020819665,0.5712269328075006,0.4255537519744361,0.4609545673343947,0.5711186290225483,0.8448763364728009,0.10278381938684583,0.26952598695998825,0.46349390373943306,0.16872255417457133,0.23996755898019456,0.11214846603360115,0.2378641111141731,0.20626312430654672,0.26862323062393434,0.3616281675262785,0.22542790347700573,0,0,0,1,1,0,0,0,0,0,0,1,1,0
