,Mean_Acc1298_Mean_Mem40_Centroid,Mean_Acc1298_Mean_Mem40_Flux,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Mean_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_Centroid,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_11,Std_Acc1298_Std_Mem40_MFCC_2,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.1324975298443397,0.2292269112597145,0.5128608253427279,0.5928313370930776,0.1358240288331135,0.43005327178846864,0.4161983615565211,0.34275801970378694,0.4552071725565372,0.4347157517853729,0,1,1,0,0,0
1,0.38428063127999956,0.16719004156876938,0.26057713749388434,0.2680428419720624,0.3676593531127501,0.17118206055891894,0.19135727309056394,0.28925261246545286,0.27373586950543005,0.2104294188091435,1,0,0,0,0,1
2,0.5417820755786644,0.15224561720585583,0.22827642557836897,0.2799486130612836,0.4695598863024133,0.4468474461780947,0.2727846046256056,0.4576919150301537,0.42916978187751975,0.21827226039706898,0,1,0,0,0,1
3,0.1742877042940214,0.2543263148382433,0.48034618930495887,0.37647136341847987,0.266415243898663,0.3755963011672714,0.5164140941105947,0.6682861643246241,0.44857610247906265,0.40744202030757676,0,0,1,0,0,0
4,0.3474361673982647,0.10004744261702525,0.45695016258566123,0.3619904655188092,0.178553514035707,0.30262776785577217,0.275625655627154,0.47846766960060094,0.7374035133466839,0.3667830322498067,0,0,0,1,0,0
5,0.22802641311801136,0.2918624615940719,0.5447459203812859,0.39285461072159034,0.3355317343836117,0.40884997415729774,0.5063392901743343,0.5205515164331918,0.42985631662901236,0.5235995364079329,0,1,1,0,0,0
6,0.29083585748146706,0.08123983372492327,0.33287500374429624,0.4294535475329183,0.18478334912466482,0.223291183288727,0.17368187721664408,0.28079901699834475,0.39295660163260815,0.23478728944170818,1,1,0,0,0,0
7,0.18761304674128426,0.30471715163564084,0.3744972658317164,0.5805718376764596,0.1883255615211697,0.6827519151745278,0.5894556421399669,0.5950222779677827,0.578031702830275,0.317930527818154,0,0,0,0,0,1
8,0.3841726463331011,0.29717151635640704,0.19699923782770914,0.5068302705135457,0.49750125401750056,0.38077917027014585,0.4781707377990908,0.25909531761600235,0.3784925163637697,0.20377010462382233,1,1,0,0,0,0
9,0.15991490786184404,0.030532712814025142,0.9296861946967454,0.24603770327819074,0.01992184839083236,0.14640274700250244,0.029529759228732688,0.1701967461770133,0.22810269907979897,0.35951003718906094,0,0,1,1,1,0
