,Mean_Acc1298_Mean_Mem40_MFCC_2,Mean_Acc1298_Std_Mem40_Flux,Mean_Acc1298_Std_Mem40_MFCC_6,Mean_Acc1298_Std_Mem40_MFCC_9,Std_Acc1298_Mean_Mem40_Centroid,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Std_Mem40_Rolloff,Std_Acc1298_Std_Mem40_MFCC_1,Std_Acc1298_Std_Mem40_MFCC_3,Std_Acc1298_Std_Mem40_MFCC_6,Std_Acc1298_Std_Mem40_MFCC_10,BHSUM1,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.46740414790778545,0.15751488013378373,0.5819163211154492,0.3889293971515566,0.02755864986010126,0.5246449355041527,0.47005092223213024,0.45831376607260116,0.4489412071236212,0.6630820082680392,0.19702610433538126,0.1367350963273928,0,1,1,0,0,0
1,0.3327572888959274,0.10056880067772,0.39056872181361424,0.34132771021650943,0.028513142996172663,0.192754014303063,0.3007345003989299,0.29467338434633306,0.13203614327850233,0.15551371408052594,0.09352608699763891,0.1913774393803673,1,0,0,0,0,1
2,0.4712781464016883,0.11742378400976977,0.6260500216915361,0.4868936432154358,0.17347444859305838,0.35130857810557625,0.29185830947575914,0.3456860299320653,0.25416525026105957,0.5299325114399095,0.19808213046178286,0.10511395287689791,0,1,0,0,0,1
3,0.47286197234081745,0.21376783690713258,0.7681184862334411,0.515022662235592,0.09521536921104592,0.352152636822205,0.6089665368188859,0.3785494656809726,0.3937736505810485,0.46122860483744743,0.23579329628310325,0.057287836856201896,0,0,1,0,0,0
4,0.539992210957018,0.045284015270702915,0.3999899109133649,0.6444282411393774,0.34099735174943624,0.3675717808777636,0.4227659923968649,0.4748448254246184,0.21839447795190803,0.5426798390586589,0.715683091287942,0.10873653577906423,0,0,0,1,0,0
5,0.571374620647751,0.2337473732850715,0.5679631142992623,0.4006580658871981,0.06613140188839917,0.34572027779292996,0.3487351574599896,0.3598435185795125,0.4572767965281609,0.3399885831085249,0.14145075923550016,0.22487755747779545,0,1,1,0,0,0
6,0.5537212880039042,0.05032290715456639,0.25055237749326553,0.24012076754811829,0.08699924202015666,0.18472756138804594,0.21184352560191488,0.19782447476513976,0.21691870205000535,0.28214453416320634,0.12902747874550402,0.4209326577269142,1,1,0,0,0,0
7,0.5132720767657049,0.20139064614436758,1.0,0.453096317249314,0.10168159231913759,0.25422172905715196,0.3107488149434458,0.2883771533726166,0.37686634762766474,0.4234101518262423,0.1369650124358897,0.1320630060920447,0,0,0,0,0,1
8,0.5867833514862204,0.22733323798312305,0.4234995005902116,0.3769021072031834,0.07315909154712108,0.2417539195617785,0.08648566198901769,0.12565156322049137,0.2624275597587462,0.17376692968483853,0.06966304885775802,0.6300793035371294,1,1,0,0,0,0
9,0.5749349566431486,0.02983728119877216,0.2467124711199894,0.15344733457667237,0.03988284064643516,0.24501603424466795,0.26977049795841745,0.6365483139573184,0.26230339102768957,0.5619136183259523,0.4654774026170534,0.047225601739820225,0,0,1,1,1,0
