,Mean_Acc1298_Mean_Mem40_MFCC_1,Mean_Acc1298_Std_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_8,Std_Acc1298_Mean_Mem40_MFCC_9,Std_Acc1298_Std_Mem40_Centroid,Std_Acc1298_Std_Mem40_Rolloff,Std_Acc1298_Std_Mem40_MFCC_1,Std_Acc1298_Std_Mem40_MFCC_4,BH_HighPeakAmp,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.5128608253427279,0.5832736775134382,0.17325195289171308,0.20486316283662914,0.2582031178274361,0.47005092223213024,0.45831376607260116,0.37060930771691875,0.008472739978717466,0,1,1,0,0,0
1,0.26057713749388434,0.34901167294514557,0.07369747497670863,0.08034129919981581,0.20778171535594278,0.3007345003989299,0.29467338434633306,0.16747439145280318,0.15676355740498302,1,0,0,0,0,1
2,0.22827642557836897,0.44835923581131765,0.10273225675449703,0.21460801587237344,0.5399643781788803,0.29185830947575914,0.3456860299320653,0.3929869557692005,0.0,0,1,0,0,0,1
3,0.48034618930495887,0.521326758076766,0.16102876185470966,0.18512612546981705,0.4400580231725455,0.6089665368188859,0.3785494656809726,0.28408047876050957,0.11716851546387075,0,0,1,0,0,0
4,0.45695016258566123,0.18833824328386095,0.3353115071307422,0.485055343750028,0.5038284276821946,0.4227659923968649,0.4748448254246184,0.3707535442858717,0.0817034875674155,0,0,0,1,0,0
5,0.5447459203812859,0.4432438480232038,0.2497390172236688,0.36160105192248365,0.5203723765630451,0.3487351574599896,0.3598435185795125,0.31422067670553183,0.03055677195243422,0,1,1,0,0,0
6,0.33287500374429624,0.1618880379572204,0.07270789039917824,0.11210673199810409,0.2813756633187051,0.21184352560191488,0.19782447476513976,0.17709628184350074,0.2032215357458076,1,1,0,0,0,0
7,0.3744972658317164,0.6252919184458325,0.11396825207233462,0.12249914333433165,0.4931969666366758,0.3107488149434458,0.2883771533726166,0.5919468789828961,0.033895497768510474,0,0,0,0,0,1
8,0.19699923782770914,0.36232969646170676,0.04831047992164546,0.08768119265848767,0.20583536842878383,0.08648566198901769,0.12565156322049137,0.22106221054343095,0.6557845154820222,1,1,0,0,0,0
9,0.9296861946967454,0.05248985218947133,0.24774312606005588,0.1706235176985778,0.35601623179890196,0.26977049795841745,0.6365483139573184,0.26620301165955973,0.0,0,0,1,1,1,0
10,0.31036279733872074,0.5600605312986828,0.1547824944459043,0.20219558239324953,0.49707129872752986,0.5656239733420942,0.5860169698618146,0.550781762203725,0.2303238666143301,0,1,1,0,0,0
11,0.3424227926125869,0.5217648135277592,0.13535032607916675,0.18016061244625042,0.35564899652962667,0.29252123715210965,0.2366441492650856,0.2890605741139941,0.3028421711814529,0,0,1,0,0,0
12,0.2238388521485604,0.30475005712736136,0.024596282936384703,0.04126295453870915,0.31945796074254973,0.11892218519735298,0.20756100204207834,0.09167151826034964,0.7760784776408607,1,0,0,0,0,0
