,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_Centroid,Mean_Acc1298_Std_Mem40_Rolloff,Mean_Acc1298_Std_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_9,Mean_Acc1298_Std_Mem40_MFCC_10,Mean_Acc1298_Std_Mem40_MFCC_12,Std_Acc1298_Mean_Mem40_MFCC_11,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.1358240288331135,0.2456306769286976,0.4161983615565211,0.3889293971515566,0.3235212456008769,0.2613899879107593,0.24565315641440805,0,1,1,0,0,0
1,0.35524878369553525,0.3676593531127501,0.5390779578352896,0.19135727309056394,0.34132771021650943,0.2656691715225292,0.18179058138256943,0.07567233140705834,1,0,0,0,0,1
2,0.3564912248803393,0.4695598863024133,0.43564258376049003,0.2727846046256056,0.4868936432154358,0.43373730744822003,0.2504368611935377,0.13148779513911746,0,1,0,0,0,1
3,0.24393514457015325,0.266415243898663,0.5814363468695597,0.5164140941105947,0.515022662235592,0.42557909767495516,0.305121441916694,0.2038464069925099,0,0,1,0,0,0
4,0.1554475742851039,0.178553514035707,0.15000847343852133,0.275625655627154,0.6444282411393774,0.7054174118733053,0.41872595889658193,0.5230323693182566,0,0,0,1,0,0
5,0.10964846490330929,0.3355317343836117,0.3632265973532059,0.5063392901743343,0.4006580658871981,0.3176022615819535,0.26692905813825685,0.23364092303236927,0,1,1,0,0,0
6,0.16528861757205782,0.18478334912466482,0.22731264347072044,0.17368187721664408,0.24012076754811829,0.2505895546068194,0.25081464996153413,0.18975958859329273,1,1,0,0,0,0
7,0.08151474792838084,0.1883255615211697,0.2470964717482354,0.5894556421399669,0.453096317249314,0.33475343275832226,0.26288465765468727,0.13611875331832685,0,0,0,0,0,1
8,0.3996599953635731,0.49750125401750056,0.6832320555681496,0.4781707377990908,0.3769021072031834,0.32364023827381294,0.2482443125618199,0.11551419256607036,1,1,0,0,0,0
9,0.028333719702238365,0.01992184839083236,0.004051844238391937,0.029529759228732688,0.15344733457667237,0.23203210638666127,0.13066545774260896,0.2348589957920325,0,0,1,1,1,0
10,0.3204028539783118,0.34461020181940916,0.4749835483239098,0.36203887556821024,0.3810150189981716,0.25305234235273755,0.18250906693043178,0.23626662454311298,0,1,1,0,0,0
11,0.2053967402585793,0.26089137421740016,0.25563813795638274,0.40364466257055787,0.41538943503797787,0.2804585184330468,0.26040636333663025,0.2555214764305554,0,0,1,0,0,0
