,Mean_Acc1298_Mean_Mem40_Centroid,Mean_Acc1298_Mean_Mem40_MFCC_3,Mean_Acc1298_Std_Mem40_MFCC_0,Mean_Acc1298_Std_Mem40_MFCC_4,Mean_Acc1298_Std_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_2,Std_Acc1298_Mean_Mem40_MFCC_3,Std_Acc1298_Mean_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_6,Std_Acc1298_Mean_Mem40_MFCC_7,Std_Acc1298_Mean_Mem40_MFCC_10,Std_Acc1298_Mean_Mem40_MFCC_12,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.1324975298443397,0.5297333315420018,0.30128534205231683,0.43005327178846864,0.4161983615565211,0.24674511271627048,0.5246449355041527,0.24024365559548128,0.2397882202003958,0.12868852459016394,0.13163165962634835,0.14460729523229277,0,1,1,0,0,0
1,0.38428063127999956,0.15393026519662506,0.13350195768205975,0.17118206055891894,0.19135727309056394,0.0692848342039925,0.192754014303063,0.12867071623682574,0.11672644808051971,0.05970419154110996,0.06270139079724613,0.041256200283007124,1,0,0,0,0,1
2,0.5417820755786644,0.3781660199491516,0.23307529507912667,0.4468474461780947,0.2727846046256056,0.3122133042577883,0.35130857810557625,0.241480170667137,0.3514035832708414,0.32488076060519916,0.18289749831591695,0.09250718075686669,0,1,0,0,0,1
3,0.1742877042940214,0.4731279197285571,0.37169695393556024,0.3755963011672714,0.5164140941105947,0.391381786952572,0.352152636822205,0.49152175525017894,0.24303358299979222,0.18949903660886322,0.2523052279936349,0.11236272662108296,0,0,1,0,0,0
4,0.3474361673982647,0.30153746386339303,0.22723203555688398,0.30262776785577217,0.275625655627154,0.4388800122972752,0.3675717808777636,0.48521492716184733,0.45688600572817384,0.4246241195236741,0.38590833886588044,0.3402285116449043,0,0,0,1,0,0
5,0.22802641311801136,0.6975353214842092,0.27571765249959335,0.40884997415729774,0.5063392901743343,0.33430400334546995,0.34572027779292996,0.38129655719733946,0.44578653969516,0.34710192994093303,0.24895813827557997,0.17289111545688532,0,1,1,0,0,0
6,0.29083585748146706,0.5350082685329134,0.15797695498287379,0.223291183288727,0.17368187721664408,0.24413194174261366,0.18472756138804594,0.14272029307611686,0.15565905620657566,0.10515335291702202,0.13664459322200143,0.08297131582548156,1,1,0,0,0,0
7,0.18761304674128426,0.4504364265420007,0.30727297492654837,0.6827519151745278,0.5894556421399669,0.12886885595718486,0.25422172905715196,0.22423709825785654,0.20875037269269342,0.1305173884203544,0.06475876878330167,0.06975117783557544,0,0,0,0,0,1
8,0.3841726463331011,0.4583464257619693,0.35644758298562623,0.38077917027014585,0.4781707377990908,0.15752924063848445,0.2417539195617785,0.17726355406897634,0.05257632294612445,0.04187908651568275,0.08002373523539466,0.06297556149548938,1,1,0,0,0,0
9,0.15991490786184404,0.3234637643350814,0.12014731230213939,0.14640274700250244,0.029529759228732688,0.44325996181925204,0.24501603424466795,0.23822955892284914,0.32561415238387803,0.25704775893110965,0.2327147418671556,0.14333922509202238,0,0,1,1,1,0
10,0.32707560566057087,0.5240044122904869,0.3045930583703742,0.495439914437627,0.36203887556821024,0.29365950391760826,0.6687342277293384,0.44007110462681104,0.22040097216324395,0.23577497709971892,0.1667084140923096,0.08174941875426185,0,1,1,0,0,0
11,0.3585586169288001,0.5362368680517804,0.23333881505883936,0.37569864850342616,0.40364466257055787,0.3886454522757359,0.5661444890717363,0.31698274289905676,0.1740370976048283,0.17563410088758333,0.16371962266812254,0.09272284277450593,0,0,1,0,0,0
12,0.553228479949895,0.37340582344541656,0.2307864295227104,0.34739346921647996,0.397361569009441,0.11528981899232041,0.10090951633138778,0.17524244312932508,0.09948139247025237,0.05000868631352854,0.020148199307884418,0.02318338535311418,1,0,0,0,0,0
13,0.11762800265642971,0.603206470289929,0.2965195504906635,0.3928827662438016,0.29335256506318985,0.26229429155330913,0.29582750770131805,0.2749763017978569,0.2266224555253386,0.19568921949524623,0.14392080472824045,0.1179389693382667,0,0,1,0,1,0
14,0.2493534401304458,0.5354939333011027,0.20635850249457738,0.39425422054827475,0.4401662170937607,0.3431374187083756,0.42001036412233683,0.33380896743977256,0.18276849685131147,0.10822199058719481,0.12689352947327717,0.14166516979583058,0,0,0,0,1,0
15,0.384383216979553,0.46154214806198307,0.4095708720915353,0.2567618326314012,0.1800617538338577,0.20254796104398903,0.024965763944912255,0.014406302419120498,0.07658315338676015,0.02964796740263432,0.011431498959556877,0.02205158207516412,1,0,0,0,0,1
16,0.14232955925943924,0.5355581004050749,0.10041714558217545,0.2191635152216076,0.2489463135021729,0.20553062312718373,0.23851979662204253,0.18926997512941326,0.20060082579665892,0.18742616633500742,0.172615472163384,0.07322541973853655,0,0,1,1,1,0
17,0.3433219409214356,0.5893578055973366,0.3782370005880843,0.37783463740897494,0.5037136595234525,0.2455134756844775,0.18187814548241973,0.17155093460097842,0.21363558334312122,0.15482564199753626,0.09958584932502923,0.09924112871756553,0,1,1,0,0,0
18,0.3338084670996863,0.49793732839059485,0.3055645446701301,0.6116215400203672,0.5160519381587491,0.20113157845742713,0.24954997889853203,0.23712130473382864,0.25995789701936195,0.15443159922928712,0.32624599852951786,0.10104919853124593,0,0,0,0,1,1
19,0.10942114669215112,0.5058593589425582,0.14461399875793318,0.18045063532108918,0.158418252659973,0.11642168387696425,0.3026503156607343,0.17554906680187504,0.4541899693714369,0.12814602482706342,0.18525724115177497,0.08270216061808847,0,0,1,1,1,0
20,0.4353953058943583,0.3863719899361919,0.16728473366904245,0.4727095945510279,0.42870366901443624,0.23504121926337607,0.33202226707281013,0.2054118076166924,0.24063118331059535,0.14299093464733567,0.07824197132154515,0.071435931769718,1,0,0,0,0,1
21,0.2582945937336335,0.5593843487209391,0.04740020587360515,0.20032444105561054,0.15108615565213046,0.10120857964084892,0.32867187073843657,0.15039490323317634,0.11249446607818869,0.1505535550712278,0.10433938144095897,0.04488810632419013,0,1,0,0,0,0
22,0.4263947605703765,0.5941853775602424,0.3459049451145912,0.24331748655411867,0.16167141215844938,0.3594857294799962,0.15389286196194843,0.21621678494056917,0.1721108410657656,0.13520641839603273,0.2219998394953344,0.14776226725535452,0,1,0,0,0,0
23,0.586417653379119,0.5104858071389513,0.33969012462737264,0.6507663256794585,0.9999999999999999,0.2765154028622672,0.32767349856596145,0.36228588949924156,0.21705080366097163,0.1180146245933226,0.09124041734455568,0.05023573604095212,0,0,0,0,0,1
24,0.33535265184033347,0.39469326018818207,0.22824228128430063,0.5435513502172322,0.3628552874768969,0.05974776264540359,0.17827510572266067,0.17640781349264406,0.13191604701800672,0.12302820682902177,0.09003176857496983,0.06488611299901403,0,0,0,0,0,1
25,0.2095231924669701,0.5825175923139039,0.24037765950718015,0.30109153434009006,0.3970368774664069,0.25995513595029157,0.4368183292805117,0.2069048444536187,0.21824161328502634,0.11687197953188669,0.1358023490425248,0.05869948483242836,0,0,1,0,0,1
26,0.1573556646203519,0.5556907297985413,0.37516787171467886,0.34665042755599684,0.420914194015685,0.22414314104678645,0.5095624101034402,0.2812961563820812,0.28777206566619384,0.19534887393790076,0.21639433564443836,0.0826931512387615,0,0,1,0,0,0
27,0.26404479215597343,0.2736588624094868,1.0,0.36842482332291104,0.3512381987112243,0.3430438524842549,0.34267779063324494,0.1714848000833696,0.10571281430417145,0.06705123345652106,0.06566586333270913,0.03203453745564992,1,1,0,0,0,1
28,0.42346836850942976,0.3446613671322859,0.7024283553676145,0.32571425647218966,0.22631000549477986,0.10879269496026539,0.05585860006832855,0.10989452546479542,0.10556554422168213,0.05534445181464986,0.03830387099964413,0.039247671779301746,0,1,0,0,0,0
