,Mean_Acc1298_Mean_Mem40_Rolloff,Mean_Acc1298_Mean_Mem40_MFCC_5,Mean_Acc1298_Std_Mem40_MFCC_7,Mean_Acc1298_Std_Mem40_MFCC_10,Std_Acc1298_Mean_Mem40_MFCC_0,Std_Acc1298_Mean_Mem40_MFCC_2,Std_Acc1298_Mean_Mem40_MFCC_5,Std_Acc1298_Mean_Mem40_MFCC_12,Std_Acc1298_Std_Mem40_MFCC_1,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive
0,0.07784803126103235,0.5928313370930776,0.34275801970378694,0.3235212456008769,0.5713540485187081,0.24674511271627048,0.24024365559548128,0.14460729523229277,0.45831376607260116,0,1,1,0,0,0
1,0.35524878369553525,0.2680428419720624,0.28925261246545286,0.2656691715225292,0.011350872701583373,0.0692848342039925,0.12867071623682574,0.041256200283007124,0.29467338434633306,1,0,0,0,0,1
2,0.3564912248803393,0.2799486130612836,0.4576919150301537,0.43373730744822003,0.13416466287729034,0.3122133042577883,0.241480170667137,0.09250718075686669,0.3456860299320653,0,1,0,0,0,1
3,0.24393514457015325,0.37647136341847987,0.6682861643246241,0.42557909767495516,0.23401259632771843,0.391381786952572,0.49152175525017894,0.11236272662108296,0.3785494656809726,0,0,1,0,0,0
4,0.1554475742851039,0.3619904655188092,0.47846766960060094,0.7054174118733053,0.5354545955370047,0.4388800122972752,0.48521492716184733,0.3402285116449043,0.4748448254246184,0,0,0,1,0,0
5,0.10964846490330929,0.39285461072159034,0.5205515164331918,0.3176022615819535,0.2213248018354927,0.33430400334546995,0.38129655719733946,0.17289111545688532,0.3598435185795125,0,1,1,0,0,0
6,0.16528861757205782,0.4294535475329183,0.28079901699834475,0.2505895546068194,0.13039038245911944,0.24413194174261366,0.14272029307611686,0.08297131582548156,0.19782447476513976,1,1,0,0,0,0
7,0.08151474792838084,0.5805718376764596,0.5950222779677827,0.33475343275832226,0.09518790791426592,0.12886885595718486,0.22423709825785654,0.06975117783557544,0.2883771533726166,0,0,0,0,0,1
8,0.3996599953635731,0.5068302705135457,0.25909531761600235,0.32364023827381294,0.11198133721344732,0.15752924063848445,0.17726355406897634,0.06297556149548938,0.12565156322049137,1,1,0,0,0,0
9,0.028333719702238365,0.24603770327819074,0.1701967461770133,0.23203210638666127,0.33257991392887465,0.44325996181925204,0.23822955892284914,0.14333922509202238,0.6365483139573184,0,0,1,1,1,0
10,0.3204028539783118,0.25752347014425025,0.43959425658676765,0.25305234235273755,0.21577254992190087,0.29365950391760826,0.44007110462681104,0.08174941875426185,0.5860169698618146,0,1,1,0,0,0
11,0.2053967402585793,0.22487681160537173,0.508296811078458,0.2804585184330468,0.18226929957029253,0.3886454522757359,0.31698274289905676,0.09272284277450593,0.2366441492650856,0,0,1,0,0,0
12,0.4665427255826216,0.377606916120918,0.1903945861985985,0.1669232821785035,0.12885189349994491,0.11528981899232041,0.17524244312932508,0.02318338535311418,0.20756100204207834,1,0,0,0,0,0
13,0.03858234430469506,0.7882835776036794,0.44677899235038043,0.29890598857670336,0.2632231465218321,0.26229429155330913,0.2749763017978569,0.1179389693382667,0.4684678462980159,0,0,1,0,1,0
